union_name
Archaeology Student Society (ASS)
"Art, Performance, and Cinema Studies Student Union (APCSSU)"
Behavioural Neuroscience Student Society (BNSS)
Biology Student Union (BSU)
Biomedical Physiology and Kinesiology Student Association (BPKSA)
Business Administration Student Society (BASS)
Chemistry Student Society
Cognitive Science Student Society (COGSSS)
Communications Student Union (CMNSU)
Computing Science Student Society (CSSS)
Criminology Student Association
Dance Student Union
Data Science Student Society
Disability and Neurodiversity Alliance (DNA)
Earth Science Student Union
Economics Student Society
Education Student Association
Engineering Science Student Society
English Student Union
Environmental Science Student Union (EVSCSU)
Faculty of Applied Science
"Faculty of Communications, Arts and Technology"
Faculty of Environment Event
Film Student Union
Fine and Performing Arts Student Union
"First Nations, Métis, & Inuit Student Association"
French Student Union
"Gender, Sexuality and Women Studies Student Union"
Geography Student Union
Gerontology Student Union
Global Asia Studies Student Union
Health Science Undergraduate Student Union (HSUSU)
History Student Union
Humanities Student Union
Indigenous Studies Student Union
Interactive Arts and Technology Student Union (IATSU)
International Student Advocates
International Studies Student Association (ISSA)
Labour Studies Student Union
Latin American Studies Student Union
Linguistics Student Union
Mathematics Student Union
Mechatronic Systems Engineering Student Society
Molecular Biology and Biochemistry Student Union (MBBSU)
Music Student Union
Operations Research Student Union
Out on Campus
Philosophy Student Union
Physics Student Association
Political Science Student Union
Psychology Student Union
Public Policy Student Association
Resource and Environmental Management Student Association (REMSA)
SASS Special events
Science Frosh Week
Science Undergraduate Research Journal (SURJ)
Science Undergraduate Society (SUS)
Semester in Dialogue Student Union
Social Data Science Union (SDSU)
Society of Arts and Social Science (SASS)
Sociology and Anthropology Student Union (SASU)
Software System Student Society (SSSS)
Statistics and Actuarial Science Student Association (SASSA)
Students of Caribbean & African Ancestry (SOCA)
Sustainability Community Development Student Union
Sustainable Energy Engineering Student Society (SEESS)
Theatre Student Union
Visual Arts Student Union
Women’s Centre
World Languages and Literatures Student Union
test
